[03:14:53 - INFO] Attack Started to 192.168.56.78:443 with GET method for 80 seconds, request per connection: 10!
[03:15:44 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 62%
[03:15:45 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 64%
[03:15:46 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 65%
[03:15:47 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 66%
[03:15:48 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 67%
[03:15:49 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 69%
[03:15:50 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 70%
[03:15:51 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 71%
[03:15:52 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 72%
[03:15:53 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 74%
[03:15:54 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 75%
[03:15:55 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 76%
[03:15:56 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 77%
[03:15:57 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 79%
[03:15:58 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 80%
[03:15:59 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 81%
[03:16:00 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 82%
[03:16:01 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 84%
[03:16:02 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 85%
[03:16:03 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 86%
[03:16:04 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 88%
[03:16:05 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 89%
[03:16:06 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 90%
[03:16:07 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 91%
[03:16:08 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 93%
[03:16:09 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 94%
[03:16:10 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 95%
[03:16:11 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 96%
[03:16:12 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 98%
[03:16:13 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 99%
