[03:10:51 - INFO] Attack Started to 192.168.56.78:443 with GET method for 80 seconds, request per connection: 10!
[03:10:51 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 0%
[03:10:52 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.65k, BPS: 3.50 MB / 1%
[03:10:53 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.88k, BPS: 3.67 MB / 2%
[03:10:54 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.80k, BPS: 3.60 MB / 3%
[03:10:55 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.87k, BPS: 3.66 MB / 5%
[03:10:56 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.87k, BPS: 3.66 MB / 6%
[03:10:57 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.78k, BPS: 3.60 MB / 7%
[03:10:58 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.80k, BPS: 3.61 MB / 8%
[03:10:59 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.82k, BPS: 3.62 MB / 10%
[03:11:00 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.49k, BPS: 3.38 MB / 11%
[03:11:01 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.82k, BPS: 3.63 MB / 12%
[03:11:02 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.75k, BPS: 3.57 MB / 13%
[03:11:03 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.89k, BPS: 3.68 MB / 15%
[03:11:04 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.88k, BPS: 3.67 MB / 16%
[03:11:05 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.89k, BPS: 3.67 MB / 17%
[03:11:06 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.92k, BPS: 3.70 MB / 18%
[03:11:07 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.98k, BPS: 3.74 MB / 20%
[03:11:08 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.89k, BPS: 3.67 MB / 21%
[03:11:09 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.89k, BPS: 3.68 MB / 22%
[03:11:10 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.83k, BPS: 3.63 MB / 23%
[03:11:11 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.94k, BPS: 3.71 MB / 25%
[03:11:12 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.87k, BPS: 3.66 MB / 26%
[03:11:13 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.93k, BPS: 3.70 MB / 27%
[03:11:14 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.61k, BPS: 3.46 MB / 28%
[03:11:15 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.93k, BPS: 3.71 MB / 30%
[03:11:16 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.95k, BPS: 3.72 MB / 31%
