[03:18:53 - INFO] Attack Started to 192.168.56.78:443 with GET method for 80 seconds, request per connection: 10!
[03:18:53 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 0%
[03:18:54 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.75k, BPS: 3.49 MB / 1%
[03:18:55 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.90k, BPS: 3.60 MB / 2%
[03:18:56 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.94k, BPS: 3.63 MB / 3%
[03:18:57 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.80k, BPS: 3.53 MB / 5%
[03:18:58 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.92k, BPS: 3.61 MB / 6%
[03:18:59 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.98k, BPS: 3.66 MB / 7%
[03:19:00 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.93k, BPS: 3.61 MB / 8%
[03:19:01 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.89k, BPS: 3.59 MB / 10%
[03:19:02 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.97k, BPS: 3.65 MB / 11%
[03:19:03 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 5.02k, BPS: 3.68 MB / 12%
[03:19:04 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.92k, BPS: 3.61 MB / 13%
[03:19:05 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.98k, BPS: 3.65 MB / 15%
[03:19:06 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.83k, BPS: 3.55 MB / 16%
[03:19:07 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.85k, BPS: 3.56 MB / 17%
[03:19:08 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.85k, BPS: 3.56 MB / 18%
[03:19:09 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.88k, BPS: 3.58 MB / 20%
[03:19:10 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.97k, BPS: 3.64 MB / 21%
[03:19:11 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.91k, BPS: 3.61 MB / 22%
[03:19:12 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.82k, BPS: 3.54 MB / 23%
[03:19:13 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.77k, BPS: 3.50 MB / 25%
[03:19:14 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.88k, BPS: 3.58 MB / 26%
[03:19:15 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.92k, BPS: 3.61 MB / 27%
[03:19:16 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.68k, BPS: 3.44 MB / 28%
[03:19:17 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.85k, BPS: 3.56 MB / 30%
[03:19:18 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.99k, BPS: 3.67 MB / 31%
[03:19:19 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.88k, BPS: 3.58 MB / 32%
[03:19:20 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.97k, BPS: 3.65 MB / 33%
[03:19:21 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.77k, BPS: 3.50 MB / 35%
[03:19:22 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.83k, BPS: 3.54 MB / 36%
[03:19:23 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.79k, BPS: 3.52 MB / 37%
[03:19:24 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 540, BPS: 396.87 kB / 38%
[03:19:25 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 220, BPS: 162.03 kB / 40%
[03:19:26 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 180, BPS: 131.97 kB / 41%
[03:19:27 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 820, BPS: 601.46 kB / 42%
[03:19:28 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 150, BPS: 109.87 kB / 43%
[03:19:29 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 45%
[03:19:30 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 46%
[03:19:31 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 47%
[03:19:32 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 48%
[03:19:33 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 50%
[03:19:34 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 51%
[03:19:35 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 52%
[03:19:36 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 53%
[03:19:37 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 55%
[03:19:38 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 56%
[03:19:39 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 57%
[03:19:40 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 59%
[03:19:41 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 60%
[03:19:42 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 61%
[03:19:43 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 62%
[03:19:45 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 64%
[03:19:46 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 65%
[03:19:47 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 66%
[03:19:48 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 67%
[03:19:49 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 69%
[03:19:50 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 70%
[03:19:51 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 71%
[03:19:52 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 72%
[03:19:53 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 74%
[03:19:54 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 75%
[03:19:55 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 76%
