[05:00:06 - INFO] Attack Started to 192.168.56.78:80 with TCP method for 80 seconds
[05:00:54 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 914.07k, BPS: 866.15 MB / 60%
[05:00:55 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 964.87k, BPS: 912.71 MB / 61%
[05:00:56 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 934.98k, BPS: 885.87 MB / 62%
[05:00:57 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 930.74k, BPS: 874.69 MB / 64%
[05:00:58 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 968.81k, BPS: 916.73 MB / 65%
[05:00:59 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 934.23k, BPS: 880.67 MB / 66%
[05:01:00 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 73.20k, BPS: 950.01 MB / 67%
[05:01:01 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 951.98k, BPS: 900.79 MB / 69%
[05:01:02 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 944.85k, BPS: 894.50 MB / 70%
[05:01:03 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 964.09k, BPS: 908.36 MB / 71%
[05:01:04 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 43.84k, BPS: 950.01 MB / 72%
[05:01:05 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 913.17k, BPS: 867.63 MB / 74%
[05:01:06 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 913.45k, BPS: 865.54 MB / 75%
[05:01:07 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 916.50k, BPS: 868.77 MB / 76%
[05:01:08 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 924.45k, BPS: 872.66 MB / 78%
[05:01:09 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 911.88k, BPS: 864.32 MB / 79%
[05:01:10 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.84m, BPS: 882.26 MB / 80%
[05:01:11 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 920.56k, BPS: 870.99 MB / 81%
[05:01:12 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 922.88k, BPS: 871.69 MB / 83%
