[03:23:25 - INFO] Attack Started to 192.168.56.78:443 with POST method for 80 seconds, request per connection: 10!
[03:24:20 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 69%
[03:24:21 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 70%
[03:24:22 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 71%
[03:24:23 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 72%
[03:24:24 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 74%
[03:24:25 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 75%
[03:24:26 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 76%
[03:24:27 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 77%
[03:24:28 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 79%
[03:24:29 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 80%
[03:24:30 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 81%
[03:24:31 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 82%
[03:24:32 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 84%
[03:24:33 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 85%
[03:24:34 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 86%
[03:24:35 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 87%
[03:24:36 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 89%
[03:24:37 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 90%
[03:24:38 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 91%
[03:24:39 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 92%
[03:24:40 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 94%
[03:24:41 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 95%
[03:24:42 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 96%
[03:24:43 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 97%
[03:24:44 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 99%
